Date;Date de valeur;Débit;Crédit;Libellé;Solde
02/02/2026;02/02/2026;;;SOLDE CREDITEUR AU 02/02/2026;41163,57
02/02/2026;02/02/2026;-1000,00;;VIR SEPA INDEMNITES ALLAN;40163,57
02/02/2026;03/02/2026;;594,00;REMCB00251 NB0005 TPE279911801;40757,57
02/02/2026;03/02/2026;;877,30;REMCB00381 NB0010 TPE279911801;41634,87
02/02/2026;03/02/2026;;892,20;REMCB00009 NB0008 TPE279911801;42527,07
02/02/2026;03/02/2026;-3,57;;COMCB00009 NB0008 TPE279911801;42523,50
02/02/2026;03/02/2026;-3,52;;COMCB00381 NB0010 TPE279911801;42519,98
02/02/2026;03/02/2026;-2,38;;COMCB00251 NB0005 TPE279911801;42517,60
02/02/2026;02/02/2026;-1000,00;;VIR SEPA ACOMPTE THIBAUL;41517,60
02/02/2026;02/02/2026;-1000,00;;VIR SEPA ACOMPTE LUCIE;40517,60
02/02/2026;02/02/2026;-1000,00;;VIR SEPA ACOMPTE SALAIRE TANGUY;39517,60
02/02/2026;02/02/2026;-1000,00;;VIR SEPA ACOMPTE LOUISE;38517,60
02/02/2026;02/02/2026;-500,00;;VIR SEPA ACOMPTE PAUL;38017,60
02/02/2026;02/02/2026;-3636,85;;VIR SEPA LOYER MENSUEL CALIX;34380,75
02/02/2026;02/02/2026;-180,00;;VIR SEPA FORFAIT MENSUEL LICENC;34200,75
02/02/2026;02/02/2026;;14,99;VIR AMAZON PAYMENTS EUROPE S;34215,74
02/02/2026;02/02/2026;;34,39;VIR PAYPAL PTE. LTD.;34250,13
02/02/2026;02/02/2026;-10,88;;PAIEMENT CB 3MINUTESPIZZ;34239,25
02/02/2026;02/02/2026;-49,56;;PAIEMENT CB PADDLE.NET* LOCA;34189,69
02/02/2026;02/02/2026;-0,73;;FRAIS PAIE CB OP 19,00 USD;34188,96
02/02/2026;02/02/2026;-16,04;;PAIEMENT CB NETLIFY;34172,92
03/02/2026;03/02/2026;-48,00;;PRLV SEPA AMAZON EU SARL;34124,92
03/02/2026;03/02/2026;-18,99;;PRLV SEPA AMAZON PAYMENTS EUROP;34105,93
03/02/2026;03/02/2026;-35,99;;PRLV SEPA AMAZON PAYMENTS EUROP;34069,94
03/02/2026;03/02/2026;-49,62;;PRLV SEPA AMAZON PAYMENTS EUROP;34020,32
02/02/2026;02/02/2026;-22,80;;PAIEMENT CB WIX.COM;33997,52
02/02/2026;02/02/2026;-10,88;;PAIEMENT CB 3MINUTESPIZZ;33986,64
02/02/2026;02/02/2026;-10,88;;PAIEMENT CB 3MINUTESPIZZ;33975,76
02/02/2026;02/02/2026;-13,60;;PAIEMENT CB 3MINUTESPIZZ;33962,16
02/02/2026;02/02/2026;-10,88;;PAIEMENT CB 3MINUTESPIZZ;33951,28
03/02/2026;04/02/2026;;1392,00;REMCB00131 NB0010 TPE279911801;35343,28
03/02/2026;04/02/2026;-5,57;;COMCB00131 NB0010 TPE279911801;35337,71
03/02/2026;03/02/2026;-878,40;;VIR TAXE PUB MONDEVILLE;34459,31
03/02/2026;03/02/2026;-24,40;;VIR TAXE PUB MONDEVILLE;34434,91
03/02/2026;03/02/2026;-2491,59;;VIR INST SOLDE DE TOUT COMPTE L;31943,32
03/02/2026;03/02/2026;-74,58;;PAIEMENT CB GOOGLE ADS128162;31868,74
03/02/2026;03/02/2026;-0,01;;PAIEMENT CB GOOGLE*CLOUD M2Z;31868,73
03/02/2026;03/02/2026;-10,96;;PAIEMENT CB 3MINUTESPIZZ;31857,77
04/02/2026;04/02/2026;-9,98;;PRLV SEPA AMAZON PAYMENTS EUROP;31847,79
04/02/2026;04/02/2026;-699,17;;PRLV SEPA EDF;31148,62
04/02/2026;04/02/2026;-540,00;;PRLV SEPA SENDINBLUE;30608,62
04/02/2026;04/02/2026;-9,93;;PRLV SEPA AMAZON PAYMENTS EUROP;30598,69
04/02/2026;05/02/2026;;1133,09;REMCB00389 NB0014 TPE279911801;31731,78
04/02/2026;05/02/2026;-4,54;;COMCB00389 NB0014 TPE279911801;31727,24
04/02/2026;04/02/2026;-10,32;;PAIEMENT CB 3MINUTESPIZZ;31716,92
04/02/2026;04/02/2026;-11,99;;PAIEMENT CB HOSTINGER.COM;31704,93
04/02/2026;04/02/2026;-15,98;;PAIEMENT CB DROPBOX;31688,95
04/02/2026;04/02/2026;-1,33;;FRAIS PAIE CB OP 39,99 EUR;31687,62
04/02/2026;04/02/2026;-39,99;;PAIEMENT CB OFFICESUITE PERS;31647,63
05/02/2026;05/02/2026;-269,60;;PRLV SEPA MMA IARD SA;31378,03
05/02/2026;05/02/2026;-47,94;;PRLV SEPA EDF;31330,09
05/02/2026;06/02/2026;;478,23;REMCB00065 NB0006 TPE279911801;31808,32
05/02/2026;06/02/2026;-1,90;;COMCB00065 NB0006 TPE279911801;31806,42
05/02/2026;05/02/2026;;1249,98;VIR ASP AGENCE COMPTABLE;33056,40
05/02/2026;05/02/2026;;198,40;VIR INST FUNBOOKER;33254,80
05/02/2026;06/02/2026;;210,00;REM CHQ N9987883;33464,80
05/02/2026;05/02/2026;-4,83;;FRAIS PAIE CB OP 180,00 EUR;33459,97
05/02/2026;05/02/2026;-180,00;;PAIEMENT CB CLAUDE.AI SUBSCR;33279,97
05/02/2026;05/02/2026;-61,12;;PAIEMENT CB LA MAISON DU DOC;33218,85
05/02/2026;05/02/2026;;61,39;VIR PAYPAL PTE. LTD.;33280,24
05/02/2026;06/02/2026;;745,00;REM CHQ N9987854;34025,24
06/02/2026;09/02/2026;;1540,08;REMCB00161 NB0018 TPE279911801;35565,32
06/02/2026;09/02/2026;-6,18;;COMCB00161 NB0018 TPE279911801;35559,14
06/02/2026;06/02/2026;-54,34;;TNS PREVOYANCE FZ550228035;35504,80
06/02/2026;06/02/2026;-284,26;;VIR INST SOLDE SALAIRE LUCIE;35220,54
