Date;Date de valeur;Débit;Crédit;Libellé;Solde
02/01/2026;02/01/2026;-1000,00;;VIR SEPA INDEMNITES ALLAN;39899,97
02/01/2026;02/01/2026;-11,76;;PRLV SEPA AMAZON PAYMENTS EUROP;39888,21
02/01/2026;02/01/2026;-59,99;;PRLV SEPA AMAZON PAYMENTS EUROP;39828,22
02/01/2026;05/01/2026;;1026,60;REMCB00143 NB0009 TPE279911801;40854,82
02/01/2026;05/01/2026;;928,32;REMCB00199 NB0015 TPE279911801;41783,14
02/01/2026;05/01/2026;-3,72;;COMCB00199 NB0015 TPE279911801;41779,42
02/01/2026;05/01/2026;-4,11;;COMCB00143 NB0009 TPE279911801;41775,31
02/01/2026;02/01/2026;;1249,98;VIR ASP AGENCE COMPTABLE;43025,29
02/01/2026;02/01/2026;-1000,00;;VIR SEPA ACOMPTE SALAIRE TANGUY;42025,29
02/01/2026;02/01/2026;-1000,00;;VIR SEPA ACOMPTE SALAIRE LEO;41025,29
02/01/2026;02/01/2026;-500,00;;VIR SEPA ACOMPTE PAUL;40525,29
02/01/2026;02/01/2026;-1000,00;;VIR SEPA ACOMPTE LOUISE;39525,29
02/01/2026;02/01/2026;-1000,00;;VIR SEPA ACOMPTE THIBAUL;38525,29
02/01/2026;02/01/2026;-3636,85;;VIR SEPA LOYER MENSUEL CALIX;34888,44
02/01/2026;02/01/2026;-180,00;;VIR SEPA FORFAIT MENSUEL LICENC;34708,44
02/01/2026;02/01/2026;-1000,00;;VIR SEPA ACOMPTE LUCIE;33708,44
02/01/2026;02/01/2026;;58,95;VIR PAYPAL PTE. LTD.;33767,39
02/01/2026;02/01/2026;-22,80;;PAIEMENT CB WIX.COM;33744,59
05/01/2026;05/01/2026;-269,60;;PRLV SEPA MMA IARD SA;33474,99
05/01/2026;05/01/2026;-84,00;;PRLV SEPA EDF;33390,99
05/01/2026;05/01/2026;-532,81;;PRLV SEPA EDF;32858,18
05/01/2026;06/01/2026;;1327,18;REMCB00155 NB0020 TPE279911801;34185,36
05/01/2026;06/01/2026;;469,00;REMCB00147 NB0004 TPE279911801;34654,36
05/01/2026;06/01/2026;;1071,80;REMCB00111 NB0015 TPE279911801;35726,16
05/01/2026;06/01/2026;-4,29;;COMCB00111 NB0015 TPE279911801;35721,87
05/01/2026;06/01/2026;-1,88;;COMCB00147 NB0004 TPE279911801;35719,99
05/01/2026;06/01/2026;-5,96;;COMCB00155 NB0020 TPE279911801;35714,03
05/01/2026;05/01/2026;;81,90;VIR DRFIP ILE DE FRANCE ET D;35795,93
02/01/2026;01/01/2026;-168,21;;INTERETS/FRAIS;35627,72
05/01/2026;05/01/2026;;132,15;VIR PAYPAL PTE. LTD.;35759,87
05/01/2026;05/01/2026;-29,00;;PAIEMENT CB UBERSUGGEST;35730,87
05/01/2026;05/01/2026;-1,06;;FRAIS PAIE CB OP 29,00 EUR;35729,81
05/01/2026;05/01/2026;-166,68;;PAIEMENT CB GOOGLE*ADS;35563,13
